Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn
Checkpoint epoch_35_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.125 | sacreBLEU: 27.12 | Beam=5
Checkpoint epoch_36_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.101 | sacreBLEU: 27.26 | Beam=5
Checkpoint epoch_37_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.114 | sacreBLEU: 26.85 | Beam=5
Checkpoint epoch_38_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.089 | sacreBLEU: 27.50 | Beam=5
Checkpoint epoch_39_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.092 | sacreBLEU: 27.39 | Beam=5
Checkpoint epoch_40_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.090 | sacreBLEU: 27.52 | Beam=5
Checkpoint epoch_41_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.101 | sacreBLEU: 27.91 | Beam=5
Checkpoint epoch_42_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.082 | sacreBLEU: 27.92 | Beam=5
Checkpoint epoch_43_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.080 | sacreBLEU: 27.73 | Beam=5
Checkpoint epoch_44_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.061 | sacreBLEU: 28.20 | Beam=5
Checkpoint epoch_45_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.064 | sacreBLEU: 28.34 | Beam=5
Checkpoint epoch_46_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.071 | sacreBLEU: 27.82 | Beam=5
Checkpoint epoch_47_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.062 | sacreBLEU: 28.13 | Beam=5
Checkpoint epoch_48_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.056 | sacreBLEU: 28.58 | Beam=5
Checkpoint epoch_49_TDM_Former_IWSLT17_En_It_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.054 | sacreBLEU: 28.78 | Beam=5
Checkpoint TDM_Former_IWSLT17_En_It_LR0_0001_Adam_Seed1_1_TDM_NoRotation_Last3Layer_LastEpoch49.pt | Test Loss: 3.054 | sacreBLEU: 28.78 | Beam=5

🏆 Best BLEU Score: 28.78

🕒 Total Test Time over all checkpoints: 5 min 44.73 sec
