Model: Baseline Fairseq Transformer

Checkpoint epoch_40_Transformer_IWSLT17_Ro_En_Seed1_1_EXP3.pt | Test Loss: 2.945 | sacreBLEU: 32.30 | Beam=5
Checkpoint epoch_41_Transformer_IWSLT17_Ro_En_Seed1_1_EXP3.pt | Test Loss: 2.969 | sacreBLEU: 30.28 | Beam=5
Checkpoint epoch_42_Transformer_IWSLT17_Ro_En_Seed1_1_EXP3.pt | Test Loss: 2.940 | sacreBLEU: 31.76 | Beam=5
Checkpoint epoch_43_Transformer_IWSLT17_Ro_En_Seed1_1_EXP3.pt | Test Loss: 2.932 | sacreBLEU: 32.59 | Beam=5
Checkpoint epoch_44_Transformer_IWSLT17_Ro_En_Seed1_1_EXP3.pt | Test Loss: 2.934 | sacreBLEU: 31.83 | Beam=5
Checkpoint epoch_45_Transformer_IWSLT17_Ro_En_Seed1_1_EXP3.pt | Test Loss: 2.936 | sacreBLEU: 32.14 | Beam=5
Checkpoint epoch_46_Transformer_IWSLT17_Ro_En_Seed1_1_EXP3.pt | Test Loss: 2.923 | sacreBLEU: 32.75 | Beam=5
Checkpoint epoch_47_Transformer_IWSLT17_Ro_En_Seed1_1_EXP3.pt | Test Loss: 2.919 | sacreBLEU: 32.33 | Beam=5
Checkpoint epoch_48_Transformer_IWSLT17_Ro_En_Seed1_1_EXP3.pt | Test Loss: 2.926 | sacreBLEU: 32.17 | Beam=5
Checkpoint epoch_49_Transformer_IWSLT17_Ro_En_Seed1_1_EXP3.pt | Test Loss: 2.927 | sacreBLEU: 32.88 | Beam=5
Checkpoint Transformer_IWSLT17_Ro_En_LR0_0001_Adam_Seed1_1_EXP3_LastEpoch49.pt | Test Loss: 2.927 | sacreBLEU: 32.88 | Beam=5

🏆 Best BLEU Score: 32.88

🕒 Total Test Time over all checkpoints: 2 min 50.77 sec
