Epoch 30 | Last Batch 1570 | M_Optimizer LR => 0.00002866 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.76 sec
Epoch 31 | Last Batch 1570 | M_Optimizer LR => 0.00002821 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.65 sec
Epoch 32 | Last Batch 1570 | M_Optimizer LR => 0.00002778 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.41 sec
Epoch 33 | Last Batch 1570 | M_Optimizer LR => 0.00002737 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.36 sec
Epoch 34 | Last Batch 1570 | M_Optimizer LR => 0.00002697 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.54 sec
Epoch 35 | Last Batch 1570 | M_Optimizer LR => 0.00002659 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.24 sec
Epoch 36 | Last Batch 1570 | M_Optimizer LR => 0.00002623 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.49 sec
Epoch 37 | Last Batch 1570 | M_Optimizer LR => 0.00002589 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.43 sec
Epoch 38 | Last Batch 1570 | M_Optimizer LR => 0.00002555 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.56 sec
Epoch 39 | Last Batch 1570 | M_Optimizer LR => 0.00002523 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.06 sec
Epoch 40 | Last Batch 1570 | M_Optimizer LR => 0.00002492 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.04 sec
Epoch 41 | Last Batch 1570 | M_Optimizer LR => 0.00002462 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.69 sec
Epoch 42 | Last Batch 1570 | M_Optimizer LR => 0.00002433 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.66 sec
Epoch 43 | Last Batch 1570 | M_Optimizer LR => 0.00002406 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.89 sec
Epoch 44 | Last Batch 1570 | M_Optimizer LR => 0.00002379 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.02 sec
Epoch 45 | Last Batch 1570 | M_Optimizer LR => 0.00002353 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.44 sec
Epoch 46 | Last Batch 1570 | M_Optimizer LR => 0.00002328 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.94 sec
Epoch 47 | Last Batch 1570 | M_Optimizer LR => 0.00002303 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.94 sec
Epoch 48 | Last Batch 1570 | M_Optimizer LR => 0.00002280 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.95 sec
Epoch 49 | Last Batch 1570 | M_Optimizer LR => 0.00002257 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.47 sec

🕒 Total Training Time => TDM_Former: 81 min 33.38 sec
