Epoch 23 | Last Batch 1510 | M_Optimizer LR => 0.00003321 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 58.68 sec
Epoch 24 | Last Batch 1510 | M_Optimizer LR => 0.00003254 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 0.55 sec
Epoch 25 | Last Batch 1510 | M_Optimizer LR => 0.00003191 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 60.00 sec
Epoch 26 | Last Batch 1510 | M_Optimizer LR => 0.00003131 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.01 sec
Epoch 27 | Last Batch 1510 | M_Optimizer LR => 0.00003075 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 1.04 sec
Epoch 28 | Last Batch 1510 | M_Optimizer LR => 0.00003021 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.78 sec
Epoch 29 | Last Batch 1510 | M_Optimizer LR => 0.00002971 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 58.57 sec
Epoch 30 | Last Batch 1510 | M_Optimizer LR => 0.00002922 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 0.69 sec
Epoch 31 | Last Batch 1510 | M_Optimizer LR => 0.00002876 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.70 sec
Epoch 32 | Last Batch 1510 | M_Optimizer LR => 0.00002832 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 58.92 sec
Epoch 33 | Last Batch 1510 | M_Optimizer LR => 0.00002790 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 0.52 sec
Epoch 34 | Last Batch 1510 | M_Optimizer LR => 0.00002750 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.29 sec
Epoch 35 | Last Batch 1510 | M_Optimizer LR => 0.00002712 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 58.76 sec
Epoch 36 | Last Batch 1510 | M_Optimizer LR => 0.00002675 | WD => 0.000100 | ⏱ Training time => TDM_Former: 2 min 0.66 sec
Epoch 37 | Last Batch 1510 | M_Optimizer LR => 0.00002639 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 59.62 sec
