Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn
Checkpoint epoch_33_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.975 | sacreBLEU: 31.43 | Beam=5
Checkpoint epoch_34_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.956 | sacreBLEU: 31.14 | Beam=5
Checkpoint epoch_35_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.947 | sacreBLEU: 31.65 | Beam=5
Checkpoint epoch_36_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.937 | sacreBLEU: 32.61 | Beam=5
Checkpoint epoch_37_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.934 | sacreBLEU: 33.06 | Beam=5
Checkpoint epoch_38_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.934 | sacreBLEU: 32.98 | Beam=5
Checkpoint epoch_39_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.934 | sacreBLEU: 32.27 | Beam=5
Checkpoint epoch_40_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.932 | sacreBLEU: 33.17 | Beam=5
Checkpoint epoch_41_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.946 | sacreBLEU: 31.15 | Beam=5
Checkpoint epoch_42_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.919 | sacreBLEU: 32.24 | Beam=5
Checkpoint epoch_43_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.905 | sacreBLEU: 33.15 | Beam=5
Checkpoint epoch_44_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.911 | sacreBLEU: 32.16 | Beam=5
Checkpoint epoch_45_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.910 | sacreBLEU: 32.97 | Beam=5
Checkpoint epoch_46_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.895 | sacreBLEU: 33.33 | Beam=5
Checkpoint epoch_47_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.900 | sacreBLEU: 32.95 | Beam=5
Checkpoint epoch_48_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.902 | sacreBLEU: 32.47 | Beam=5
Checkpoint epoch_49_TDM_Former_IWSLT17_Ro_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.902 | sacreBLEU: 33.60 | Beam=5
Checkpoint TDM_Former_IWSLT17_Ro_En_LR0_0001_Adam_Seed1_1_TDM_NoRotation_Last3Layer_LastEpoch49.pt | Test Loss: 2.902 | sacreBLEU: 33.60 | Beam=5

🏆 Best BLEU Score: 33.60

🕒 Total Test Time over all checkpoints: 2 min 21.04 sec
