Model: TDM_Former
Ablation Status: transition=True | rotation=True | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn
Checkpoint epoch_34_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.205 | sacreBLEU: 24.16 | Beam=5
Checkpoint epoch_35_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.195 | sacreBLEU: 24.81 | Beam=5
Checkpoint epoch_36_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.195 | sacreBLEU: 24.54 | Beam=5
Checkpoint epoch_37_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.185 | sacreBLEU: 24.80 | Beam=5
Checkpoint epoch_38_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.185 | sacreBLEU: 24.56 | Beam=5
Checkpoint epoch_39_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.162 | sacreBLEU: 24.87 | Beam=5
Checkpoint epoch_40_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.163 | sacreBLEU: 25.20 | Beam=5
Checkpoint epoch_41_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.168 | sacreBLEU: 24.26 | Beam=5
Checkpoint epoch_42_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.150 | sacreBLEU: 25.01 | Beam=5
Checkpoint epoch_43_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.158 | sacreBLEU: 24.85 | Beam=5
Checkpoint epoch_44_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.145 | sacreBLEU: 25.54 | Beam=5
Checkpoint epoch_45_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.142 | sacreBLEU: 24.88 | Beam=5
Checkpoint epoch_46_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.135 | sacreBLEU: 24.79 | Beam=5
Checkpoint epoch_47_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.128 | sacreBLEU: 25.63 | Beam=5
Checkpoint epoch_48_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.149 | sacreBLEU: 25.86 | Beam=5
Checkpoint epoch_49_TDM_Former_IWSLT14_En_De_Seed1_1_TDM_WithRotation_Last3Layer.pt | Test Loss: 3.124 | sacreBLEU: 25.19 | Beam=5
Checkpoint TDM_Former_IWSLT14_En_De_LR0_0001_Adam_Seed1_1_TDM_WithRotation_Last3Layer_LastEpoch49.pt | Test Loss: 3.124 | sacreBLEU: 25.19 | Beam=5

🏆 Best BLEU Score: 25.86

🕒 Total Test Time over all checkpoints: 3 min 42.52 sec
