Epoch 37 | Last Batch 1256 | M_Optimizer LR => 0.00002894 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.30 sec
Epoch 38 | Last Batch 1256 | M_Optimizer LR => 0.00002856 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.65 sec
Epoch 39 | Last Batch 1256 | M_Optimizer LR => 0.00002821 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 40.11 sec
Epoch 40 | Last Batch 1256 | M_Optimizer LR => 0.00002786 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.65 sec
Epoch 41 | Last Batch 1256 | M_Optimizer LR => 0.00002753 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.96 sec
Epoch 42 | Last Batch 1256 | M_Optimizer LR => 0.00002720 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.81 sec
Epoch 43 | Last Batch 1256 | M_Optimizer LR => 0.00002689 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.92 sec
Epoch 44 | Last Batch 1256 | M_Optimizer LR => 0.00002659 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.68 sec
Epoch 45 | Last Batch 1256 | M_Optimizer LR => 0.00002630 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.08 sec
Epoch 46 | Last Batch 1256 | M_Optimizer LR => 0.00002602 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.95 sec
Epoch 47 | Last Batch 1256 | M_Optimizer LR => 0.00002575 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.72 sec
Epoch 48 | Last Batch 1256 | M_Optimizer LR => 0.00002548 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 39.12 sec
Epoch 49 | Last Batch 1256 | M_Optimizer LR => 0.00002523 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.18 sec

🕒 Total Training Time => TDM_Former: 83 min 15.81 sec
