Epoch 17 | Last Batch 1510 | M_Optimizer LR => 0.00003835 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.19 sec
Epoch 18 | Last Batch 1510 | M_Optimizer LR => 0.00003733 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.82 sec
Epoch 19 | Last Batch 1510 | M_Optimizer LR => 0.00003638 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.95 sec
Epoch 20 | Last Batch 1510 | M_Optimizer LR => 0.00003550 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.13 sec
Epoch 21 | Last Batch 1510 | M_Optimizer LR => 0.00003469 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.09 sec
Epoch 22 | Last Batch 1510 | M_Optimizer LR => 0.00003393 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.06 sec
Epoch 23 | Last Batch 1510 | M_Optimizer LR => 0.00003321 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.31 sec
Epoch 24 | Last Batch 1510 | M_Optimizer LR => 0.00003254 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.50 sec
Epoch 25 | Last Batch 1510 | M_Optimizer LR => 0.00003191 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.34 sec
Epoch 26 | Last Batch 1510 | M_Optimizer LR => 0.00003131 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.80 sec
Epoch 27 | Last Batch 1510 | M_Optimizer LR => 0.00003075 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.28 sec
Epoch 28 | Last Batch 1510 | M_Optimizer LR => 0.00003021 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.57 sec
Epoch 29 | Last Batch 1510 | M_Optimizer LR => 0.00002971 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.70 sec
Epoch 30 | Last Batch 1510 | M_Optimizer LR => 0.00002922 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.53 sec
Epoch 31 | Last Batch 1510 | M_Optimizer LR => 0.00002876 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.37 sec
Epoch 32 | Last Batch 1510 | M_Optimizer LR => 0.00002832 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.40 sec
Epoch 33 | Last Batch 1510 | M_Optimizer LR => 0.00002790 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.18 sec
Epoch 34 | Last Batch 1510 | M_Optimizer LR => 0.00002750 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.50 sec
Epoch 35 | Last Batch 1510 | M_Optimizer LR => 0.00002712 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 25.78 sec
Epoch 36 | Last Batch 1510 | M_Optimizer LR => 0.00002675 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 29.60 sec
Epoch 37 | Last Batch 1510 | M_Optimizer LR => 0.00002639 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.48 sec
Epoch 38 | Last Batch 1510 | M_Optimizer LR => 0.00002605 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.65 sec
Epoch 39 | Last Batch 1510 | M_Optimizer LR => 0.00002573 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 25.78 sec
Epoch 40 | Last Batch 1510 | M_Optimizer LR => 0.00002541 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 29.49 sec
Epoch 41 | Last Batch 1510 | M_Optimizer LR => 0.00002511 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.49 sec
Epoch 42 | Last Batch 1510 | M_Optimizer LR => 0.00002481 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.50 sec
Epoch 43 | Last Batch 1510 | M_Optimizer LR => 0.00002453 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.44 sec
Epoch 44 | Last Batch 1510 | M_Optimizer LR => 0.00002425 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.86 sec
Epoch 45 | Last Batch 1510 | M_Optimizer LR => 0.00002399 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.61 sec
Epoch 46 | Last Batch 1510 | M_Optimizer LR => 0.00002373 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.35 sec
Epoch 47 | Last Batch 1510 | M_Optimizer LR => 0.00002348 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 26.24 sec
Epoch 48 | Last Batch 1510 | M_Optimizer LR => 0.00002324 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 28.15 sec
Epoch 49 | Last Batch 1510 | M_Optimizer LR => 0.00002301 | WD => 0.000100 | ⏱ Training time => Transformer: 1 min 27.73 sec

🕒 Total Training Time => Transformer: 73 min 7.80 sec
