Epoch 37 | Last Batch 1583 | M_Optimizer LR => 0.00002578 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.92 sec
Epoch 38 | Last Batch 1583 | M_Optimizer LR => 0.00002545 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.15 sec
Epoch 39 | Last Batch 1583 | M_Optimizer LR => 0.00002513 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 32.39 sec
Epoch 40 | Last Batch 1583 | M_Optimizer LR => 0.00002482 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 30.13 sec
Epoch 41 | Last Batch 1583 | M_Optimizer LR => 0.00002452 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.86 sec
Epoch 42 | Last Batch 1583 | M_Optimizer LR => 0.00002423 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.59 sec
Epoch 43 | Last Batch 1583 | M_Optimizer LR => 0.00002396 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 32.44 sec
Epoch 44 | Last Batch 1583 | M_Optimizer LR => 0.00002369 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 30.61 sec
Epoch 45 | Last Batch 1583 | M_Optimizer LR => 0.00002343 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.10 sec
Epoch 46 | Last Batch 1583 | M_Optimizer LR => 0.00002318 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.71 sec
Epoch 47 | Last Batch 1583 | M_Optimizer LR => 0.00002294 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 32.20 sec
Epoch 48 | Last Batch 1583 | M_Optimizer LR => 0.00002270 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.04 sec
Epoch 49 | Last Batch 1583 | M_Optimizer LR => 0.00002247 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.07 sec

🕒 Total Training Time => TDM_Former: 78 min 23.29 sec
