Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn
Checkpoint epoch_33_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.331 | sacreBLEU: 33.07 | Beam=5
Checkpoint epoch_34_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.319 | sacreBLEU: 33.79 | Beam=5
Checkpoint epoch_35_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.332 | sacreBLEU: 31.84 | Beam=5
Checkpoint epoch_36_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.311 | sacreBLEU: 31.74 | Beam=5
Checkpoint epoch_37_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.301 | sacreBLEU: 33.65 | Beam=5
Checkpoint epoch_38_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.299 | sacreBLEU: 32.92 | Beam=5
Checkpoint epoch_39_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.294 | sacreBLEU: 32.99 | Beam=5
Checkpoint epoch_40_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.294 | sacreBLEU: 34.52 | Beam=5
Checkpoint epoch_41_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.284 | sacreBLEU: 32.89 | Beam=5
Checkpoint epoch_42_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.281 | sacreBLEU: 33.22 | Beam=5
Checkpoint epoch_43_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.276 | sacreBLEU: 34.08 | Beam=5
Checkpoint epoch_44_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.273 | sacreBLEU: 33.28 | Beam=5
Checkpoint epoch_45_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.273 | sacreBLEU: 34.17 | Beam=5
Checkpoint epoch_46_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.265 | sacreBLEU: 34.96 | Beam=5
Checkpoint epoch_47_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.255 | sacreBLEU: 34.22 | Beam=5
Checkpoint epoch_48_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.255 | sacreBLEU: 33.55 | Beam=5
Checkpoint epoch_49_TDM_Former_IWSLT17_Zh_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 3.249 | sacreBLEU: 33.97 | Beam=5
Checkpoint TDM_Former_IWSLT17_Zh_En_LR0_0001_Adam_Seed1_1_TDM_NoRotation_Last3Layer_LastEpoch49.pt | Test Loss: 3.249 | sacreBLEU: 33.97 | Beam=5

🏆 Best BLEU Score: 34.96

🕒 Total Test Time over all checkpoints: 37 min 46.40 sec
