Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn
Checkpoint epoch_35_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.964 | sacreBLEU: 31.04 | Beam=5
Checkpoint epoch_36_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.949 | sacreBLEU: 31.34 | Beam=5
Checkpoint epoch_37_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.941 | sacreBLEU: 31.83 | Beam=5
Checkpoint epoch_38_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.939 | sacreBLEU: 31.39 | Beam=5

♻️ Resuming checkpoint testing after crash

Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn

Checkpoint epoch_39_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.931 | sacreBLEU: 31.80 | Beam=5
Checkpoint epoch_40_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.925 | sacreBLEU: 31.39 | Beam=5
Checkpoint epoch_41_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.932 | sacreBLEU: 31.60 | Beam=5
Checkpoint epoch_42_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.922 | sacreBLEU: 31.85 | Beam=5
Checkpoint epoch_43_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.927 | sacreBLEU: 31.30 | Beam=5
Checkpoint epoch_44_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.919 | sacreBLEU: 31.79 | Beam=5
Checkpoint epoch_45_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.927 | sacreBLEU: 31.88 | Beam=5
Checkpoint epoch_46_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.926 | sacreBLEU: 32.63 | Beam=5
Checkpoint epoch_47_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.910 | sacreBLEU: 32.30 | Beam=5
Checkpoint epoch_48_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.915 | sacreBLEU: 31.45 | Beam=5
Checkpoint epoch_49_TDM_Former_IWSLT17_It_En_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 2.902 | sacreBLEU: 32.32 | Beam=5
Checkpoint TDM_Former_IWSLT17_It_En_LR0_0001_Adam_Seed1_1_TDM_NoRotation_Last3Layer_LastEpoch49.pt | Test Loss: 2.902 | sacreBLEU: 32.32 | Beam=5

🏆 Best BLEU Score: 32.63

🕒 Total Test Time over all checkpoints: 1 min 9.07 sec
