Model: Baseline Fairseq Transformer

Checkpoint epoch_42_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.088 | sacreBLEU: 27.67 | Beam=5
Checkpoint epoch_43_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.088 | sacreBLEU: 27.79 | Beam=5
Checkpoint epoch_44_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.080 | sacreBLEU: 27.93 | Beam=5
Checkpoint epoch_45_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.072 | sacreBLEU: 28.40 | Beam=5
Checkpoint epoch_46_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.083 | sacreBLEU: 27.24 | Beam=5
Checkpoint epoch_47_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.072 | sacreBLEU: 27.97 | Beam=5
Checkpoint epoch_48_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.062 | sacreBLEU: 28.51 | Beam=5
Checkpoint epoch_49_Transformer_IWSLT17_En_It_Seed1_1_EXP3.pt | Test Loss: 3.060 | sacreBLEU: 28.63 | Beam=5
Checkpoint Transformer_IWSLT17_En_It_LR0_0001_Adam_Seed1_1_EXP3_LastEpoch49.pt | Test Loss: 3.060 | sacreBLEU: 28.63 | Beam=5

🏆 Best BLEU Score: 28.63

🕒 Total Test Time over all checkpoints: 5 min 40.31 sec
