Model: Baseline Fairseq Transformer

Checkpoint epoch_41_Transformer_IWSLT14_En_De_Seed1_1_EXP3.pt | Test Loss: 3.197 | sacreBLEU: 24.38 | Beam=5
Checkpoint epoch_42_Transformer_IWSLT14_En_De_Seed1_1_EXP3.pt | Test Loss: 3.190 | sacreBLEU: 24.74 | Beam=5
Checkpoint epoch_43_Transformer_IWSLT14_En_De_Seed1_1_EXP3.pt | Test Loss: 3.241 | sacreBLEU: 24.65 | Beam=5
Checkpoint epoch_44_Transformer_IWSLT14_En_De_Seed1_1_EXP3.pt | Test Loss: 3.186 | sacreBLEU: 25.25 | Beam=5
Checkpoint epoch_45_Transformer_IWSLT14_En_De_Seed1_1_EXP3.pt | Test Loss: 3.188 | sacreBLEU: 24.99 | Beam=5
Checkpoint epoch_46_Transformer_IWSLT14_En_De_Seed1_1_EXP3.pt | Test Loss: 3.174 | sacreBLEU: 24.92 | Beam=5
Checkpoint epoch_47_Transformer_IWSLT14_En_De_Seed1_1_EXP3.pt | Test Loss: 3.176 | sacreBLEU: 25.13 | Beam=5
Checkpoint epoch_48_Transformer_IWSLT14_En_De_Seed1_1_EXP3.pt | Test Loss: 3.183 | sacreBLEU: 25.34 | Beam=5
Checkpoint epoch_49_Transformer_IWSLT14_En_De_Seed1_1_EXP3.pt | Test Loss: 3.167 | sacreBLEU: 25.07 | Beam=5
Checkpoint Transformer_IWSLT14_En_De_LR0_0001_Adam_Seed1_1_EXP3_LastEpoch49.pt | Test Loss: 3.167 | sacreBLEU: 25.07 | Beam=5

🏆 Best BLEU Score: 25.34

🕒 Total Test Time over all checkpoints: 2 min 37.18 sec
