Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 2 decoder FFN layers (L5-L6) | insertion=ffn
Checkpoint epoch_34_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.020 | sacreBLEU: 28.57 | Beam=5
Checkpoint epoch_35_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.010 | sacreBLEU: 29.70 | Beam=5
Checkpoint epoch_36_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.028 | sacreBLEU: 30.38 | Beam=5
Checkpoint epoch_37_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.008 | sacreBLEU: 30.37 | Beam=5
Checkpoint epoch_38_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.994 | sacreBLEU: 30.70 | Beam=5
Checkpoint epoch_39_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.997 | sacreBLEU: 30.06 | Beam=5
Checkpoint epoch_40_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.990 | sacreBLEU: 30.61 | Beam=5
Checkpoint epoch_41_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 3.019 | sacreBLEU: 30.60 | Beam=5
Checkpoint epoch_42_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.973 | sacreBLEU: 31.28 | Beam=5
Checkpoint epoch_43_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.979 | sacreBLEU: 30.18 | Beam=5
Checkpoint epoch_44_TDM_Former_IWSLT14_De_En_Seed1_1_TDM_NoRotation_Last2Layer.pt | Test Loss: 2.974 | sacreBLEU: 30.48 | Beam=5
