Model: TDM_Former
Ablation Status: transition=True | rotation=False | enhanced_layers=Last 3 decoder FFN layers (L4-L6) | insertion=ffn
Checkpoint epoch_32_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.355 | sacreBLEU: 19.86 | Beam=5
Checkpoint epoch_33_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.331 | sacreBLEU: 19.49 | Beam=5
Checkpoint epoch_34_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.321 | sacreBLEU: 19.40 | Beam=5
Checkpoint epoch_35_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.316 | sacreBLEU: 19.82 | Beam=5
Checkpoint epoch_36_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.314 | sacreBLEU: 19.42 | Beam=5
Checkpoint epoch_37_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.292 | sacreBLEU: 19.83 | Beam=5
Checkpoint epoch_38_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.300 | sacreBLEU: 19.64 | Beam=5
Checkpoint epoch_39_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.285 | sacreBLEU: 19.89 | Beam=5
Checkpoint epoch_40_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.274 | sacreBLEU: 19.69 | Beam=5
Checkpoint epoch_41_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.277 | sacreBLEU: 19.91 | Beam=5
Checkpoint epoch_42_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.262 | sacreBLEU: 20.03 | Beam=5
Checkpoint epoch_43_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.264 | sacreBLEU: 20.09 | Beam=5
Checkpoint epoch_44_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.254 | sacreBLEU: 20.23 | Beam=5
Checkpoint epoch_45_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.257 | sacreBLEU: 20.18 | Beam=5
Checkpoint epoch_46_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.242 | sacreBLEU: 20.34 | Beam=5
Checkpoint epoch_47_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.244 | sacreBLEU: 20.30 | Beam=5
Checkpoint epoch_48_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.251 | sacreBLEU: 20.17 | Beam=5
Checkpoint epoch_49_TDM_Former_IWSLT17_En_Zh_Seed1_1_TDM_NoRotation_Last3Layer.pt | Test Loss: 4.237 | sacreBLEU: 20.60 | Beam=5
Checkpoint TDM_Former_IWSLT17_En_Zh_LR0_0001_Adam_Seed1_1_TDM_NoRotation_Last3Layer_LastEpoch49.pt | Test Loss: 4.237 | sacreBLEU: 20.60 | Beam=5

🏆 Best BLEU Score: 20.60

🕒 Total Test Time over all checkpoints: 17 min 28.71 sec
