Epoch 28 | Last Batch 1251 | M_Optimizer LR => 0.00003319 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 17.27 sec
Epoch 29 | Last Batch 1251 | M_Optimizer LR => 0.00003263 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 16.73 sec
Epoch 30 | Last Batch 1251 | M_Optimizer LR => 0.00003210 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 16.68 sec
Epoch 31 | Last Batch 1251 | M_Optimizer LR => 0.00003160 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 19.22 sec
Epoch 32 | Last Batch 1251 | M_Optimizer LR => 0.00003112 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 17.71 sec
Epoch 33 | Last Batch 1251 | M_Optimizer LR => 0.00003065 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 15.44 sec
Epoch 34 | Last Batch 1251 | M_Optimizer LR => 0.00003021 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 18.08 sec
Epoch 35 | Last Batch 1251 | M_Optimizer LR => 0.00002979 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 17.35 sec
Epoch 36 | Last Batch 1251 | M_Optimizer LR => 0.00002939 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 17.56 sec
Epoch 37 | Last Batch 1251 | M_Optimizer LR => 0.00002900 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 17.05 sec
Epoch 38 | Last Batch 1251 | M_Optimizer LR => 0.00002862 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 15.13 sec
Epoch 39 | Last Batch 1251 | M_Optimizer LR => 0.00002826 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 18.50 sec
Epoch 40 | Last Batch 1251 | M_Optimizer LR => 0.00002791 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 18.76 sec
