Epoch 14 | Last Batch 1570 | M_Optimizer LR => 0.00004120 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.18 sec
Epoch 15 | Last Batch 1570 | M_Optimizer LR => 0.00003989 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.59 sec
Epoch 16 | Last Batch 1570 | M_Optimizer LR => 0.00003870 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.35 sec
Epoch 17 | Last Batch 1570 | M_Optimizer LR => 0.00003761 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.65 sec
Epoch 18 | Last Batch 1570 | M_Optimizer LR => 0.00003661 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.90 sec
Epoch 19 | Last Batch 1570 | M_Optimizer LR => 0.00003568 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 38.52 sec
Epoch 20 | Last Batch 1570 | M_Optimizer LR => 0.00003482 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.83 sec
Epoch 21 | Last Batch 1570 | M_Optimizer LR => 0.00003402 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.38 sec
Epoch 22 | Last Batch 1570 | M_Optimizer LR => 0.00003327 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.89 sec
Epoch 23 | Last Batch 1570 | M_Optimizer LR => 0.00003257 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.46 sec
Epoch 24 | Last Batch 1570 | M_Optimizer LR => 0.00003191 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.52 sec
Epoch 25 | Last Batch 1570 | M_Optimizer LR => 0.00003129 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.95 sec
Epoch 26 | Last Batch 1570 | M_Optimizer LR => 0.00003071 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.98 sec
Epoch 27 | Last Batch 1570 | M_Optimizer LR => 0.00003016 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.62 sec
Epoch 28 | Last Batch 1570 | M_Optimizer LR => 0.00002963 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.91 sec
Epoch 29 | Last Batch 1570 | M_Optimizer LR => 0.00002913 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.64 sec
Epoch 30 | Last Batch 1570 | M_Optimizer LR => 0.00002866 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 36.20 sec
Epoch 31 | Last Batch 1570 | M_Optimizer LR => 0.00002821 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 34.67 sec
Epoch 32 | Last Batch 1570 | M_Optimizer LR => 0.00002778 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 33.16 sec
Epoch 33 | Last Batch 1570 | M_Optimizer LR => 0.00002737 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 35.16 sec
Epoch 34 | Last Batch 1570 | M_Optimizer LR => 0.00002697 | WD => 0.000100 | ⏱ Training time => TDM_Former: 1 min 37.67 sec
